obec;pou;AB;BUS;M;MOT;NA;NAA;NAE;NN;NAN;NNA;NNT;NS;OA;OSO;OAE;OV;PN;PNA;PNT;PS;SA;SN;SNV;SP;SPT;SS;TN;TR;VD;VN;PTA;ABT;MM;MMK;MMP;MS;MST;MTR;MTS;MTT;MTV;NAC;NAG;NAI;NAK;NAM;NAP;NAR;NAS;NAU;NAV;NAW;NAX;NC;NJ;NK;NNR;NP;NPC;NPR;NT;NTC;NTK;NTN;NV;OAD;OAG;OAK;OAM;OAO;OAR;OAS;OAV;P;PA;PD;PNC;PNJ;PNK;PNN;PNP;PNS;PNU;PNV;PO;POC;PON;POO;PPN;PRS;PT;PTC;PTN;PTO;PTS;SAA;SAC;SAE;SAG;SAJ;SAP;SAR;SAS;SAV;SAW;T;TJE;TKO;TKU;TMA;TP;TPA;VMB;VMN;VMP;VZU;.;1;BUD;JIV;JTK;MCT;MKL;MOP;MPV;NAT;NSA;NTA;OVZ;PRN;PRT;PRV;PSN;SPA;SPP;STC;TAN;TAP;TNA;TRA;TRK;TRP;VIS;VNN;VTS;VUD;VVO;Celkem
VeleËÌn;Kralovice;0;0;12;1;6;0;0;0;0;0;0;0;44;7;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89
Velehrad;StarÈ MÏsto;0;0;113;11;51;0;0;0;0;0;2;0;464;63;0;1;29;0;1;0;1;0;0;0;0;1;0;5;0;0;0;0;4;0;0;0;0;0;0;0;1;0;1;0;2;0;2;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;11;0;25;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;849
VelemÌn;Lovosice;1;0;201;13;96;0;0;11;0;0;1;1;913;119;0;1;88;1;5;3;1;0;0;0;0;9;2;11;2;0;0;0;10;0;3;2;0;0;0;0;0;0;1;1;3;0;1;0;2;20;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;14;2;0;0;0;1;0;0;0;0;0;1;1;1;0;0;13;26;5;54;5;0;0;0;0;0;0;7;0;2;0;0;2;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;13;7;4;0;0;0;0;0;1;0;0;0;0;0;5;1;47;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;1764
Velemyöleves;éatec;0;0;31;4;24;0;0;5;0;0;8;0;206;20;0;1;20;0;1;0;0;0;0;0;0;7;1;15;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;11;1;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;410
VeleÚ;Brand˝s nad Labem-Star· Boleslav;0;0;119;29;99;0;0;1;0;0;0;0;739;104;0;1;45;0;0;7;1;0;0;0;0;4;0;5;4;0;0;0;1;0;0;2;0;0;3;0;2;0;0;0;0;0;0;0;3;33;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;13;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;13;10;2;16;4;0;2;0;0;0;0;14;1;2;0;0;0;0;0;2;0;0;0;0;10;0;0;0;0;0;0;0;7;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1333
Velenice;»esk· LÌpa;0;0;22;2;15;0;0;0;0;0;0;0;95;11;0;0;15;1;1;0;0;0;0;1;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;1;7;1;0;0;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;227
Velenice;MÏstec Kr·lovÈ;2;0;46;6;32;0;0;2;0;0;1;0;149;12;0;0;7;0;1;0;1;0;0;0;0;1;0;5;0;0;0;0;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;11;0;7;1;0;0;1;0;3;0;11;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;353
Velenka;Sadsk·;0;0;30;7;16;0;0;0;0;0;0;0;175;19;0;1;19;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;2;0;1;6;16;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;326
Velenov;Boskovice;0;0;31;6;9;0;0;0;0;0;0;0;94;18;0;0;14;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;4;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;208
VeleöÌn;Kaplice;2;0;356;69;124;0;0;3;1;0;0;0;1796;409;0;0;135;0;0;6;2;0;0;0;0;3;0;8;3;0;0;0;9;1;0;6;0;2;4;0;1;0;0;2;5;0;1;0;2;26;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;3;23;0;2;0;0;1;0;0;0;0;1;0;1;1;0;0;25;67;2;100;3;0;0;2;0;0;0;20;1;0;0;0;0;0;0;2;0;0;0;0;33;0;0;0;0;0;0;0;15;3;3;0;0;0;0;0;0;0;0;0;0;0;2;0;92;0;1;1;0;0;0;0;1;7;0;0;0;0;0;0;3394
Veleöovice;Slavkov u Brna;3;0;101;6;65;0;0;2;0;0;4;0;571;65;0;1;30;0;0;2;1;0;0;1;0;16;0;4;8;0;0;0;4;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;4;15;1;0;0;0;0;1;0;2;0;0;1;0;3;0;1;6;0;8;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;6;23;1;15;2;0;1;0;1;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1041
Veletiny;Uhersk˝ Brod;1;0;58;12;32;0;0;8;0;0;1;0;257;28;0;0;14;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;26;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;505
Veletov;T˝nec nad Labem;0;0;29;2;10;0;0;1;0;0;0;0;146;18;0;0;17;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7;1;12;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;277
Velhartice;Suöice;0;1;143;8;36;0;0;0;0;0;2;0;496;70;0;1;53;0;3;1;3;0;0;0;0;8;0;25;1;0;0;0;6;0;0;2;1;0;0;0;0;2;0;0;0;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;4;10;0;1;0;0;0;0;0;0;0;0;2;0;2;1;0;15;43;0;15;1;0;0;8;1;0;0;31;0;0;0;0;0;0;0;1;0;1;0;0;56;0;0;0;0;0;1;0;3;0;4;0;0;0;0;0;0;0;1;0;0;1;2;1;17;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1107
Velichov;Ostrov;0;0;68;8;20;0;0;1;0;0;0;0;294;50;0;2;25;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;3;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;3;18;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;550
Velichovky;JaromÏ¯;1;0;105;10;40;0;0;2;0;0;2;1;399;48;0;0;41;0;2;1;1;0;0;0;0;2;0;11;2;0;0;0;2;0;0;3;1;0;0;0;4;0;0;0;0;0;1;0;2;9;2;0;0;0;0;0;0;1;1;0;0;0;2;0;0;1;0;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;25;1;38;3;0;0;1;2;0;0;21;0;1;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;23;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;873
Velik· Ves;KadaÚ;1;0;50;7;18;0;0;0;0;0;1;0;200;20;0;0;22;0;0;0;0;0;0;0;1;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;4;1;7;0;0;0;6;8;0;0;17;0;1;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;418
Velik· Ves;Odolena Voda;0;0;49;2;23;0;0;0;0;0;0;0;196;39;0;1;19;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;12;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;386
Velim;KolÌn;1;0;240;34;189;0;0;13;0;0;7;0;1117;205;0;0;114;0;0;6;5;0;0;0;0;19;1;19;7;0;0;0;13;1;2;2;0;1;5;0;0;0;0;0;5;0;3;0;9;52;7;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;2;14;1;0;0;0;1;0;0;0;1;1;1;0;2;1;0;16;44;1;79;6;0;0;1;6;1;0;16;0;0;0;0;4;0;0;5;0;0;0;0;30;0;0;0;2;0;0;0;23;12;5;0;0;0;0;0;0;0;0;0;0;0;5;0;45;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;2412
Veliny;Holice;0;0;87;9;26;0;0;0;0;0;0;0;298;14;0;0;26;0;0;2;0;0;0;0;0;2;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;10;1;20;3;0;0;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;570
Veliö;JiËÌn;0;0;35;2;11;0;0;3;0;0;0;0;116;14;0;0;9;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;3;6;0;3;2;0;0;4;2;1;0;12;0;0;0;0;0;0;0;1;0;0;0;0;18;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265
Veliö;Vlaöim;0;0;44;6;15;0;0;1;0;0;0;0;212;16;0;0;21;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;8;0;1;1;0;0;0;0;1;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;8;0;16;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;417
Velk· BÌteö;Velk· BÌteö;72;26;509;46;281;0;0;30;2;0;6;0;2507;441;0;1;188;0;3;7;4;0;0;0;0;20;2;24;4;0;0;0;15;3;6;7;0;0;7;0;0;0;0;1;6;0;6;0;8;136;2;0;0;0;0;2;0;5;0;0;0;0;1;0;1;2;8;23;0;2;0;0;3;0;0;0;0;0;2;0;4;0;0;47;101;4;137;5;0;0;6;3;1;0;44;1;0;0;0;1;0;0;4;0;0;0;0;101;0;0;0;0;0;0;0;13;15;8;0;0;0;1;0;0;0;0;0;0;0;5;2;132;0;1;2;0;0;0;0;0;13;0;0;0;0;2;0;5072
Velk· Bukov·;K¯ivokl·t;0;0;40;9;11;0;0;0;0;0;0;0;164;26;0;2;10;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;9;2;0;0;1;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;347
