obec;pou;AB;BUS;M;MOT;NA;NAA;NAE;NN;NAN;NNA;NNT;NS;OA;OSO;OAE;OV;PN;PNA;PNT;PS;SA;SN;SNV;SP;SPT;SS;TN;TR;VD;VN;PTA;ABT;MM;MMK;MMP;MS;MST;MTR;MTS;MTT;MTV;NAC;NAG;NAI;NAK;NAM;NAP;NAR;NAS;NAU;NAV;NAW;NAX;NC;NJ;NK;NNR;NP;NPC;NPR;NT;NTC;NTK;NTN;NV;OAD;OAG;OAK;OAM;OAO;OAR;OAS;OAV;P;PA;PD;PNC;PNJ;PNK;PNN;PNP;PNS;PNU;PNV;PO;POC;PON;POO;PPN;PRS;PT;PTC;PTN;PTO;PTS;SAA;SAC;SAE;SAG;SAJ;SAP;SAR;SAS;SAV;SAW;T;TJE;TKO;TKU;TMA;TP;TPA;VMB;VMN;VMP;VZU;.;1;BUD;JIV;JTK;MCT;MKL;MOP;MPV;NAT;NSA;NTA;OVZ;PRN;PRT;PRV;PSN;SPA;SPP;STC;TAN;TAP;TNA;TRA;TRK;TRP;VIS;VNN;VTS;VUD;VVO;Celkem
Borovany;Milevsko;0;0;43;2;14;0;0;0;0;0;0;0;150;15;0;0;22;0;0;2;0;0;0;0;0;1;0;6;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;13;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;322
Borovany;TrhovÈ Sviny;3;0;572;62;230;0;0;5;0;0;9;0;2410;227;0;3;195;1;7;18;4;0;0;0;0;10;0;27;11;0;0;0;12;4;0;10;0;1;8;0;1;0;0;2;2;1;2;0;4;42;6;0;0;0;0;0;0;3;0;0;1;0;2;0;1;1;9;36;3;4;0;0;12;0;0;0;1;0;1;0;2;0;0;69;80;3;168;9;0;0;4;30;1;0;17;0;2;0;0;0;0;0;4;0;0;0;0;85;0;0;0;0;0;0;0;7;12;5;0;0;0;0;0;0;0;0;0;0;0;10;3;105;0;5;1;0;0;0;0;1;12;0;0;0;0;0;0;4598
Borovn·;TelË;0;0;7;0;2;0;0;0;0;0;0;0;52;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
Borovnice;»eskÈ BudÏjovice;0;0;26;7;1;0;0;0;0;0;0;0;84;4;0;0;6;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;152
Borovnice;Dv˘r Kr·lovÈ nad Labem;0;0;77;12;17;0;0;0;0;0;3;0;212;27;0;0;22;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;11;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;428
Borovnice;Kostelec nad OrlicÌ;0;0;58;11;14;0;0;0;0;0;1;0;246;33;0;0;24;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;5;0;0;0;1;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;12;1;21;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;473
Borovnice;NovÈ MÏsto na MoravÏ;0;0;23;1;4;0;0;0;0;0;0;0;77;14;0;0;5;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;160
Borovnice;Vlaöim;0;0;14;3;2;0;0;0;0;0;1;0;55;7;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;5;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;114
BorovniËka;Dv˘r Kr·lovÈ nad Labem;0;0;22;2;13;0;0;0;0;0;0;0;91;20;0;0;9;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;199
BorovnÌk;Tiönov;0;0;28;7;7;0;0;0;0;0;0;0;65;10;0;0;8;0;0;0;1;0;0;0;0;4;0;3;0;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;1;0;4;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;179
Borovno;Sp·lenÈ Po¯ÌËÌ;0;0;18;0;2;0;0;0;0;0;0;0;69;6;0;0;7;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;131
Borovy;P¯eötice;0;0;41;4;7;0;0;2;0;0;0;0;129;16;0;0;15;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261
Boröice;UherskÈ HradiötÏ;2;0;213;15;133;1;0;10;0;0;2;0;1007;120;0;0;54;0;1;4;0;0;0;0;0;4;0;14;0;0;0;0;3;0;1;6;0;1;2;0;2;0;0;1;0;0;0;0;3;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;9;35;0;42;2;0;0;0;0;0;0;22;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1801
Boröice u Blatnice;UherskÈ HradiötÏ;1;0;85;9;44;0;0;0;0;0;2;0;374;76;0;0;22;0;0;0;1;0;0;0;0;2;0;3;1;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;22;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;712
Boröov;Jihlava;0;0;23;0;1;0;0;0;0;0;0;0;83;13;0;0;7;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;160
Boröov nad Vltavou;»eskÈ BudÏjovice;0;0;235;27;175;1;0;15;1;0;1;0;1009;207;0;0;96;0;0;7;2;0;0;0;0;14;2;10;9;0;0;0;6;2;0;4;0;0;0;0;1;0;0;0;5;0;0;0;4;53;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;20;26;4;54;5;0;0;3;1;1;0;8;0;2;0;0;0;0;0;1;0;0;0;0;29;0;0;0;1;0;0;0;17;2;7;0;0;0;0;0;0;0;0;0;0;0;6;0;38;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2142
Boruöov;Moravsk· T¯ebov·;0;0;37;3;7;0;0;0;0;0;0;0;107;7;0;0;8;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;3;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;222
Bory;VelkÈ Mezi¯ÌËÌ;0;0;135;11;19;0;0;0;0;0;0;0;401;59;0;0;37;0;1;2;1;0;0;0;0;2;0;5;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;3;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;18;2;26;2;0;0;2;0;0;0;9;0;2;0;0;1;0;0;0;0;0;0;0;31;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;22;0;1;0;0;0;0;0;2;7;0;0;0;0;0;0;836
BoseÚ;Mnichovo HradiötÏ;0;0;99;6;23;0;0;1;0;0;0;0;322;34;0;0;26;0;0;1;1;0;0;0;0;2;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;2;0;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;0;23;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;622
Boöice;Vimperk;0;0;56;5;18;0;0;2;0;0;5;0;204;29;0;0;31;0;3;0;2;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;0;9;2;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;25;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;1;7;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;457
Boöilec;»eskÈ BudÏjovice;0;0;46;3;12;0;0;0;0;0;0;0;123;17;0;0;7;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;10;0;15;0;0;0;1;3;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282
BoöÌn;ChoceÚ;0;0;24;3;3;0;0;0;0;0;0;0;60;3;0;0;7;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5;0;7;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;133
Boskovice;Boskovice;18;3;1001;123;648;0;0;50;3;2;5;0;4878;940;0;4;328;0;6;15;11;0;1;0;0;22;2;11;17;0;0;0;67;2;3;30;1;0;11;0;6;0;1;1;10;1;0;0;26;233;16;0;0;1;1;0;0;1;0;0;0;1;0;0;2;7;3;53;4;1;0;1;3;0;0;0;8;1;1;0;2;0;0;68;145;14;194;23;0;1;7;1;2;0;24;0;3;0;0;7;0;0;5;0;0;1;0;42;0;0;0;0;0;0;1;47;29;9;0;0;0;0;0;0;0;0;0;0;0;45;3;169;0;5;3;0;0;0;0;1;14;0;0;0;0;0;0;9449
Boskovötejn;Znojmo;0;0;23;2;11;0;0;4;0;0;3;0;87;13;0;0;11;0;1;1;0;0;0;0;1;5;0;11;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;5;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;213
Boöovice;Slavkov u Brna;1;0;106;10;54;0;0;0;0;0;0;0;556;63;0;0;14;0;1;3;1;0;0;0;0;3;0;10;3;0;0;0;1;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;2;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;5;9;0;22;1;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;929
Boudy;Mirotice;0;0;26;3;13;0;0;0;0;0;1;0;115;12;0;1;17;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;4;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;7;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;15;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;259
BousÌn;ProstÏjov;0;0;15;1;6;0;0;0;0;0;0;0;66;9;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;4;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120
Bousov;T¯emoönice;0;0;32;0;10;0;0;0;0;0;0;0;138;8;0;0;13;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;2;0;12;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;255
Bouzov;Litovel;1;0;177;12;69;1;0;3;0;0;1;0;788;75;0;0;69;0;0;0;2;0;0;0;0;5;0;5;2;0;0;0;3;2;0;1;0;0;3;0;0;0;1;1;2;1;0;0;3;15;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;3;8;1;0;0;0;0;0;0;0;1;2;0;1;2;0;0;23;35;0;33;2;0;0;0;1;1;0;14;0;1;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;5;3;27;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;1458
Boûanov;Broumov;0;0;41;1;14;0;0;0;0;0;1;0;202;5;0;0;12;0;0;1;1;0;0;0;0;0;0;4;1;0;0;0;4;1;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;2;0;0;0;0;1;0;0;0;1;0;4;11;0;19;2;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;380
Boûejov;Pelh¯imov;4;0;91;4;22;0;0;0;0;0;1;0;330;42;0;0;32;0;1;1;1;0;0;0;0;7;0;18;1;0;0;0;2;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;10;1;34;1;0;0;5;1;2;0;25;0;0;0;0;0;0;0;1;0;0;0;0;49;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;2;18;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;746
Boûetice;Milevsko;0;0;60;5;27;0;0;0;0;0;3;0;171;25;0;3;23;0;2;0;1;0;0;0;0;2;0;11;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;15;0;0;0;4;2;0;0;39;0;0;0;0;0;0;0;2;0;0;0;0;43;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;489
BoûÌ Dar;Ostrov;1;0;30;4;62;1;0;37;0;0;0;0;167;29;0;1;26;0;0;1;3;0;1;0;0;0;0;2;5;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;3;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480
BoûiËany;Karlovy Vary;0;0;61;4;54;0;0;2;0;0;0;0;341;50;0;0;15;0;0;2;2;0;0;0;0;23;0;1;1;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;1;23;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;13;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;13;2;6;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;667
Boûice;Hruöovany nad Jeviöovkou;9;1;185;32;104;0;0;4;0;0;0;1;812;149;0;0;67;0;2;3;1;0;0;0;0;3;0;19;3;0;0;0;10;3;0;2;0;1;0;0;0;0;0;1;2;0;0;0;3;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;1;0;0;1;1;0;0;0;1;0;0;0;0;6;0;7;14;1;39;1;0;1;1;2;0;0;31;0;1;0;0;2;0;0;1;0;0;2;0;34;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;37;0;0;0;0;0;0;0;2;11;0;0;0;0;0;0;1655
Bozkov;Semily;1;1;96;21;26;0;0;0;0;0;1;0;306;32;0;1;36;0;0;1;1;0;0;0;0;0;0;10;2;0;0;0;6;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;17;2;13;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;18;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;15;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;648
Brad·Ëov;T·bor;0;0;20;0;3;0;0;0;0;0;1;0;26;1;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;69
Brada-RybnÌËek;JiËÌn;0;0;20;1;6;0;0;0;0;0;0;0;94;18;0;0;16;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189
Bradlec;Mlad· Boleslav;0;0;90;25;49;0;0;1;0;0;0;0;507;125;0;1;42;1;0;0;0;0;0;0;0;1;1;3;3;0;0;0;4;0;0;5;0;0;1;0;1;0;0;0;0;1;0;0;3;16;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;13;8;1;31;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;986
Bradleck· Lhota;Lomnice nad Popelkou;0;0;34;2;11;0;0;0;0;0;0;0;134;17;0;1;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241
Brambory;»·slav;0;0;17;1;4;0;0;0;0;0;0;0;77;9;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138
BraÚany;Most;0;0;96;10;35;0;0;0;0;0;0;0;647;77;0;2;33;0;1;1;2;0;0;0;0;0;0;2;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;6;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;13;13;1;23;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1019
