"","nazev","typ","subtyp","long","lat","address"
"873","Mgr. Zdeňka Lauermannová s.r.o.","Zdravotnictví","Soukromá ordinace",16.661186,49.204837,"Velkopavlovická 4310/25, 628 00 Brno-Brno-Vinohrady, Czechia"
"874","NEUROLOGIE POPELKA s.r.o.","Zdravotnictví","Soukromá ordinace",16.606284,49.225871,"Křižíkova 93/7, 612 00 Brno-Královo Pole, Czechia"
"875","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.649073,49.356077,"12, Masarykova 1355, 678 01 Blansko-Blansko 1, Czechia"
"876","Dr. Švandová - klinická logopedie, s.r.o.","Zdravotnictví","Soukromá ordinace",16.581951,49.209588,"14A, Králova 931, 616 00 Brno-Žabovřesky, Czechia"
"877","MUDr. Šárka Stiborová","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"878","Mgr. Jakub Veškrna","Zdravotnictví","Soukromá ordinace",16.595143,49.185399,"Vídeňská 6, 639 00 Brno-střed, Czechia"
"879","INTEKA KOSOVÁ s.r.o.","Zdravotnictví","Soukromá ordinace",16.661186,49.204837,"Velkopavlovická 4310/25, 628 00 Brno-Brno-Vinohrady, Czechia"
"880","MDDr. Jiří Potůček","Zdravotnictví","Soukromá ordinace",16.644976,49.37128,"Pražská 2394/1b, 678 01 Blansko-Blansko 1, Czechia"
"881","Meschugo s.r.o.","Zdravotnictví","Soukromá ordinace",16.649201,49.193449,"Dykova 26, 636 00 Brno-Brno-Židenice, Czechia"
"882","Evidental s.r.o.","Zdravotnictví","Soukromá ordinace",16.599233,49.200026,"Gorkého 2/12, 602 00 Brno-Brno-střed, Czechia"
"883","MUDr. Jitka Wernerová","Zdravotnictví","Soukromá ordinace",16.601294,49.210332,"4, Hrnčířská 64, 602 00 Brno-Brno-Královo Pole, Czechia"
"884","ORL ambulance ZAVI s.r.o.","Zdravotnictví","Soukromá ordinace",16.361277,49.186967,"Babická 136, 664 84 Zastávka-Zastávka u Brna, Czechia"
"885","MUDr. Jana Grabovská s.r.o.","Zdravotnictví","Soukromá ordinace",16.601051,49.201247,"Smetanova 345/7, 602 00 Brno-střed-Veveří, Czechia"
"886","Mediclinic a.s.","Zdravotnictví","Soukromá ordinace",16.601511,49.189204,"Hybešova 43, 602 00 Brno-Brno-střed, Czechia"
"887","MUDr. ANNA DOLÁKOVÁ s.r.o.","Zdravotnictví","Soukromá ordinace",16.565047,49.168195,"U Pošty 402/14, 625 00 Brno-Brno-Starý Lískovec, Czechia"
"888","MUDr. Eva Fuchsová, gynekologie, s.r.o.","Zdravotnictví","Soukromá ordinace",16.879388,49.156375,"Malinovského 551, 684 01 Slavkov u Brna, Czechia"
"889","CARDIOPULS LIPOVÁ, s.r.o.","Zdravotnictví","Soukromá ordinace",16.584623,49.194434,"Lipová 916/1A, 602 00 Brno-střed-Staré Brno, Czechia"
"890","Mgr. Dagmar Fialová","Zdravotnictví","Soukromá ordinace",16.388286,49.182951,"Zámecká 49, 665 01 Rosice-Rosice u Brna, Czechia"
"891","Studio Zuch s.r.o.","Zdravotnictví","Soukromá ordinace",16.601876,49.197655,"Marešova 184/8, 602 00 Brno-střed-Veveří, Czechia"
"892","MUDr. Alena Palčíková s.r.o.","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"893","sigurson s.r.o.","Zdravotnictví","Soukromá ordinace",16.593123,49.219226,"23, Dobrovského 2199, 612 00 Brno-Královo Pole, Czechia"
"894","MUDr. Jana Filkuková, Dermatovenerologie a korektivní dermatologie s.r.o.","Zdravotnictví","Soukromá ordinace",16.598864,49.203108,"Sokolská 362/8, 602 00 Brno-střed-Veveří, Czechia"
"895","AJAKLA s.r.o.","Zdravotnictví","Soukromá ordinace",16.654636,49.191623,"Juliánovské nám. 3878/2, 636 00 Brno-Židenice, Czechia"
"896","JMU Pro-Medical Clinic s.r.o.","Zdravotnictví","Soukromá ordinace",16.57831,49.244923,"Medlánecká 867/23, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia"
"897","amkardia s.r.o.","Zdravotnictví","Soukromá ordinace",16.592664,49.180205,"Jílová 129/22, 639 00 Brno-střed-Štýřice, Czechia"
"898","Bc. Pavel Zrubek","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"899","Mediclinic a.s.","Zdravotnictví","Soukromá ordinace",16.6673,49.172629,"Švédské valy 1227/2, 627 00 Brno-Černovice, Czechia"
"900","MUDr. Libor Nechvátal s.r.o.","Zdravotnictví","Soukromá ordinace",16.601511,49.189204,"Hybešova 43, 602 00 Brno-Brno-střed, Czechia"
"901","Ortopedie MUDr. Petr Otiepka s.r.o.","Zdravotnictví","Soukromá ordinace",16.424039,49.349797,"nám. Míru 24, 666 01 Tišnov-Tišnov 1, Czechia"
"902","DENTALIS Bohemia s.r.o.","Zdravotnictví","Soukromá ordinace",16.728104,49.164354,"Karla Čapka 1656/13, 664 51 Šlapanice-Šlapanice u Brna, Czechia"
"903","Gynekologie Woman, s.r.o.","Zdravotnictví","Soukromá ordinace",16.640811,49.187879,"Spáčilova 6a, 618 00 Brno-Černovice, Czechia"
"904","MDDr. Ján Semančo s.r.o.","Zdravotnictví","Soukromá ordinace",16.598251,49.222915,"Rostislavovo nám. 2852/11, 612 00 Brno-Královo Pole, Czechia"
"905","DENT - KŠÍROVA s.r.o.","Zdravotnictví","Soukromá ordinace",16.619158,49.182534,"Plotní 24, 602 00 Brno-Brno-jih, Czechia"
"906","Praktický lékař Blansko s.r.o.","Zdravotnictví","Soukromá ordinace",16.642673,49.360263,"Svitavská 1475/1a, 678 01 Blansko-Blansko 1, Czechia"
"907","HELIOS DENT s.r.o.,","Zdravotnictví","Soukromá ordinace",16.677314,49.352958,"Gellhornova 2236/9, 678 01 Blansko-Blansko 1, Czechia"
"908","Ordinace pro děti a dorost Pod kaštany, Brno-Žabovřesky s.r.o.","Zdravotnictví","Soukromá ordinace",16.589569,49.211524,"Pod kaštany 2288/15, 616 00 Brno-Žabovřesky, Czechia"
"909","Dětská ambulance - MUDr. Polášková, s.r.o.","Zdravotnictví","Soukromá ordinace",16.575895,49.218219,"Makovského nám. 2, 616 00 Brno-Brno-Žabovřesky, Czechia"
"910","Artemisia všeobecné lékařství, s.r.o.","Zdravotnictví","Soukromá ordinace",16.573117,49.177888,"Kamenice 811 /32, 625 00 Brno-Brno-Bohunice, Czechia"
"911","GP-MEDGROUP s.r.o.","Zdravotnictví","Soukromá ordinace",16.592313,49.205268,"Rybkova 338/9, 602 00 Brno 2, Czechia"
"912","Praktický lékař Kadlecová, s.r.o.","Zdravotnictví","Soukromá ordinace",16.775365,49.189723,"Tvarožná 344, 664 05 Tvarožná, Czechia"
"913","Praktický lékař Kadlecová, s.r.o.","Zdravotnictví","Soukromá ordinace",16.79079,49.209099,"V Zámku 7, 664 07 Pozořice, Czechia"
"914","MUDr. Taťána Pustinová s.r.o.","Zdravotnictví","Soukromá ordinace",16.59519,49.182508,"Vojtova 243/23, 639 00 Brno-Brno-střed, Czechia"
"915","ZuBr Údolní s.r.o.","Zdravotnictví","Soukromá ordinace",16.587471,49.198802,"Údolní 556/73, 602 00 Brno-střed-Stránice, Czechia"
"916","Ridere s.r.o.","Zdravotnictví","Soukromá ordinace",16.616983,49.217104,"22a, Černá Pole 2029, 613 00 Brno-sever, Czechia"
"917","Kardiologie Stříbrný s.r.o.","Zdravotnictví","Soukromá ordinace",16.596761,49.191854,"Pekařská 440/84, 602 00 Brno-střed, Czechia"
"918","Neurologie Brno s.r.o.","Zdravotnictví","Soukromá ordinace",16.575895,49.218219,"Makovského nám. 2, 616 00 Brno-Brno-Žabovřesky, Czechia"
"919","MUDr. Soňa Vybíralová s.r.o.","Zdravotnictví","Soukromá ordinace",16.879388,49.156375,"Malinovského 551, 684 01 Slavkov u Brna, Czechia"
"920","EMKO Sono s.r.o.","Zdravotnictví","Soukromá ordinace",16.593123,49.219226,"23, Dobrovského 2199, 612 00 Brno-Královo Pole, Czechia"
"921","MUDr. Pavel Zmeškal s.r.o.","Zdravotnictví","Soukromá ordinace",16.600152,49.191785,"Pekařská 424/44, 602 00 Brno-střed, Czechia"
"922","MUDr. Pavel Zmeškal s.r.o.","Zdravotnictví","Soukromá ordinace",16.645134,49.198867,"Gajdošova 54, 615 00 Brno-Brno-Židenice, Czechia"
"923","MUDr. Mojmír Müller-estetická dermatologie s.r.o.","Zdravotnictví","Soukromá ordinace",16.603281,49.189549,"Hybešova 985/30, 602 00 Brno-Brno-střed, Czechia"
"924","SiSi Dent s.r.o.","Zdravotnictví","Soukromá ordinace",16.489705,49.203456,"Bartolomějská 901/29, 641 00 Brno-Žebětín, Czechia"
"925","MDDr. Vendula Široká Hermanová","Zdravotnictví","Soukromá ordinace",16.982615,49.276876,"Puškinova 409/63, 682 01 Vyškov-Vyškov 1, Czechia"
"926","SUPERDENTAL s.r.o.","Zdravotnictví","Soukromá ordinace",16.564577,49.212735,"Sochorova 40, 616 00 Brno-Žabovřesky, Czechia"
"927","Fordent s.r.o.","Zdravotnictví","Soukromá ordinace",16.650955,49.362071,"B. Němcové 1222/15, 678 01 Blansko-Blansko 1, Czechia"
"928","blue GYN centrum s.r.o.","Zdravotnictví","Soukromá ordinace",16.565047,49.168195,"U Pošty 402/14, 625 00 Brno-Brno-Starý Lískovec, Czechia"
"929","ZS Bosonohy MUDr. Marie Týnovská s.r.o.","Zdravotnictví","Soukromá ordinace",16.53272,49.176027,"Pražská 636/38B, 642 00 Brno-Bosonohy, Czechia"
"930","UROMAK s.r.o.","Zdravotnictví","Soukromá ordinace",16.651976,49.36208,"K. H. Máchy 2342/17, 678 01 Blansko-Blansko 1, Czechia"
"931","MUDr. Dagmar Fajtová s.r.o.","Zdravotnictví","Soukromá ordinace",16.610672,49.191934,"Masarykova 31, 602 00 Brno-střed, Czechia"
"932","MUDr. Sklenská, s.r.o.","Zdravotnictví","Soukromá ordinace",16.582422,49.24356,"Filkukova 588/3, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia"
"933","MEDINEO, s.r.o.","Zdravotnictví","Soukromá ordinace",16.581325,49.224045,"Purkyňova 2640/93, 612 00 Brno-Královo Pole, Czechia"
"934","IVODENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.594089,49.190361,"Mendlovo nám. 149/16, 603 00 Brno-Brno-střed, Czechia"
"935","Mgr. Ivo Hurdálek","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"936","MUDr. Lenka Čermáková","Zdravotnictví","Soukromá ordinace",16.622185,49.219168,"Janouškova 579/4, 613 00 Brno-sever-Černá Pole, Czechia"
"937","MUDr. Režová s.r.o.","Zdravotnictví","Soukromá ordinace",16.618306,49.040252,"Masarykova 116, 667 01 Židlochovice, Czechia"
"938","CERCE s.r.o.","Zdravotnictví","Soukromá ordinace",16.606799,49.196078,"Jakubská 2, 602 00 Brno-střed, Czechia"
"939","Stomatologie Zima s.r.o.","Zdravotnictví","Soukromá ordinace",16.57115,49.195527,"Kamenomlýnská 2, 603 00 Brno-střed, Czechia"
"940","PORTCHANCE s.r.o.","Zdravotnictví","Soukromá ordinace",16.594089,49.190361,"Mendlovo nám. 149/16, 603 00 Brno-Brno-střed, Czechia"
"941","NeuroEpiProfi s.r.o.","Zdravotnictví","Soukromá ordinace",16.649073,49.356077,"12, Masarykova 1355, 678 01 Blansko-Blansko 1, Czechia"
"942","VY-DENTAL s.r.o.","Zdravotnictví","Soukromá ordinace",17.012712,49.2772,"Joklova 98/16, 682 01 Vyškov-Vyškov 1, Czechia"
"943","MUDr. et MDDR. Michal Otava","Zdravotnictví","Soukromá ordinace",16.600226,49.215093,"Štefánikova 121/52, 612 00 Brno-Královo Pole-Ponava, Czechia"
"944","Hana Mňuková","Zdravotnictví","Soukromá ordinace",16.633796,49.21397,"Provazníkova 94b, 614 00 Brno-sever-Husovice, Czechia"
"945","Gynekologie Tišnov s.r.o.","Zdravotnictví","Soukromá ordinace",16.424039,49.349797,"nám. Míru 24, 666 01 Tišnov-Tišnov 1, Czechia"
"946","MUDr. Markéta Stupková","Zdravotnictví","Soukromá ordinace",16.625513,49.191359,"Křenová 73, 602 00 Brno-střed, Czechia"
"947","MedCenter, s.r.o.","Zdravotnictví","Soukromá ordinace",16.588903,49.23149,"Palackého tř. 2522/137, 612 00 Brno-Královo Pole, Czechia"
"948","Jana Konečná","Zdravotnictví","Soukromá ordinace",16.635285,49.185207,"Charbulova 1229/86, 618 00 Brno-Černovice, Czechia"
"949","MUDr. Jana Drábíková","Zdravotnictví","Soukromá ordinace",16.40272,49.35117,"Komenského 1200, 666 02 Předklášteří, Czechia"
"950","SymbioCare, s.r.o.","Zdravotnictví","Soukromá ordinace",16.580778,49.245648,"Banskobystrická 332/33, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia"
"951","MUDr. Alena Kudová s.r.o.","Zdravotnictví","Soukromá ordinace",16.565047,49.168195,"U Pošty 402/14, 625 00 Brno-Brno-Starý Lískovec, Czechia"
"952","SoliMedix s.r.o.","Zdravotnictví","Soukromá ordinace",16.61852,49.204196,"Černopolní 216/22, 613 00 Brno-sever-Černá Pole, Czechia"
"953","Neurologie Lidická s.r.o.","Zdravotnictví","Soukromá ordinace",16.607648,49.202068,"Lidická 1867/24, 602 00 Brno-střed, Czechia"
"954","Dětský doktor s.r.o.","Zdravotnictví","Soukromá ordinace",16.599601,49.197714,"Údolní 393/18, 602 00 Brno-střed-Veveří, Czechia"
"955","Mgr. Petra Orlová","Zdravotnictví","Soukromá ordinace",16.568765,49.163507,"U Leskavy 738, 625 00 Brno-Starý Lískovec, Czechia"
"956","LK denta s.r.o.","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"957","DenteStoma s.r.o.","Zdravotnictví","Soukromá ordinace",16.613006,49.196993,"Za Divadlem 587/4, 602 00 Brno-střed, Czechia"
"958","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.525116,48.98322,"Brněnská 1, 691 23 Pohořelice, Czechia"
"959","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.593899,49.188166,"Křížová 96, 603 00 Brno-Brno-střed, Czechia"
"960","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.652455,49.135661,"Chrlické nám. 2, 643 00 Brno-Chrlice, Czechia"
"961","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.593123,49.219226,"23, Dobrovského 2199, 612 00 Brno-Královo Pole, Czechia"
"962","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.764706,49.106265,"Štefánikova 960, 664 53 Újezd u Brna, Czechia"
"963","Neurofyzionet, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.614285,49.199457,"Příkop 834/8, 602 00 Brno-střed-Zábrdovice, Czechia"
"964","SIMPLY DENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.579207,49.243674,"Kořenského 23a, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia"
"965","SIMPLY DENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.637814,49.21579,"Cacovická 165/13, 614 00 Brno-sever-Husovice, Czechia"
"966","SIMPLY DENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.637725,49.215632,"Soběšická 144/2, 614 00 Brno-sever-Husovice, Czechia"
"967","MUDr. Luboš Hrazdira s.r.o.","Zdravotnictví","Soukromá ordinace",16.637392,49.195834,"Jílkova 1930/167, 615 00 Brno-Židenice, Czechia"
"968","MUDr. Tomáš Uher Ph.D.","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"969","MUDr. Zdeněk Šmíd, s.r.o.","Zdravotnictví","Soukromá ordinace",16.589645,49.223895,"Tyršova 1977/3C, 612 00 Brno-Královo Pole, Czechia"
"970","ORL a Foniatrie, s.r.o.","Zdravotnictví","Soukromá ordinace",16.60811,49.133674,"Nádražní 663, 664 42 Modřice, Czechia"
"971","MUDr. Ivan Justan Ph.D.","Zdravotnictví","Soukromá ordinace",16.596502,49.220525,"Palackého tř. 659/11, 612 00 Brno-Brno-Královo Pole, Czechia"
"972","P&P Elite s.r.o.","Zdravotnictví","Soukromá ordinace",16.56878,49.214587,"Sochorova 3221/1, 616 00 Brno-Žabovřesky, Czechia"
"973","Mgr. Daniel Kratochvil","Zdravotnictví","Soukromá ordinace",16.616471,49.17635,"2, Vodařská 232, 619 00 Brno-jih, Czechia"
"974","SANAS VIA s.r.o.","Zdravotnictví","Soukromá ordinace",16.593765,49.220892,"Slovinská 874/40, 612 00 Brno-Královo Pole, Czechia"
"975","CEMEDIS s.r.o.","Zdravotnictví","Soukromá ordinace",16.505323,49.218898,"Lýskova 1031/2, 635 00 Brno-Brno-Bystrc, Czechia"
"976","MUDr. Zdeněk Moravec","Zdravotnictví","Soukromá ordinace",16.614354,49.198173,"Bratislavská 2, 602 00 Brno-Brno-střed, Czechia"
"977","MUDr. et MDDr. Hana Honzírková","Zdravotnictví","Soukromá ordinace",16.596761,49.191854,"Pekařská 440/84, 602 00 Brno-střed, Czechia"
"978","Dizzydent s.r.o.","Zdravotnictví","Soukromá ordinace",16.602227,49.178716,"Polní 92, 639 00 Brno-střed, Czechia"
"979","Revmatologie a diabetologie MUDr. Mertová s.r.o.","Zdravotnictví","Soukromá ordinace",16.361277,49.186967,"Babická 136, 664 84 Zastávka-Zastávka u Brna, Czechia"
"980","ALTADENT, spol. s r.o.","Zdravotnictví","Soukromá ordinace",16.628388,49.216981,"Merhautova 224, 613 00 Brno-Brno-sever, Czechia"
"981","SKYDENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.563781,49.19264,"Pisárecká 568/6a, 603 00 Brno-Brno-Kohoutovice, Czechia"
"982","MUDr. Jaroslav Dufek EMG s.r.o.","Zdravotnictví","Soukromá ordinace",16.592313,49.205268,"Rybkova 338/9, 602 00 Brno 2, Czechia"
"983","Stomatologické studio D s.r.o.","Zdravotnictví","Soukromá ordinace",16.592267,49.198439,"Údolní 405/46, 602 00 Brno-střed-Veveří, Czechia"
"984","Stomatologické centrum Brno s.r.o.","Zdravotnictví","Soukromá ordinace",16.573117,49.177888,"Kamenice 811 /32, 625 00 Brno-Brno-Bohunice, Czechia"
"985","MedivitaDent s.r.o.","Zdravotnictví","Soukromá ordinace",16.583465,49.236038,"Hudcova 556/74a, 612 00 Brno-Medlánky, Czechia"
"986","Ortopedická ambulance, Slavkov u Brna, s.r.o.","Zdravotnictví","Soukromá ordinace",16.879163,49.156627,"Malinovského 288, 684 01 Slavkov u Brna, Czechia"
"987","MUDr. Jana Straková, EMG s.r.o.","Zdravotnictví","Soukromá ordinace",16.592313,49.205268,"Rybkova 338/9, 602 00 Brno 2, Czechia"
"988","FM Chirurgie s.r.o.","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"989","HIGH MEDICAL s.r.o.","Zdravotnictví","Soukromá ordinace",16.60179,49.091335,"Masarykova 808, 664 61 Rajhrad, Czechia"
"990","MiraOrtho s.r.o.","Zdravotnictví","Soukromá ordinace",16.622185,49.219168,"Janouškova 579/4, 613 00 Brno-sever-Černá Pole, Czechia"
"991","ORTODONCIE Pokorní s.r.o.","Zdravotnictví","Soukromá ordinace",16.645652,49.357064,"Antonína Dvořáka 938/4, 678 01 Blansko-Blansko 1, Czechia"
"992","Ambulance klinické psychologie a psychoterapie s.r.o.","Zdravotnictví","Soukromá ordinace",16.610348,49.202512,"tř. Kpt. Jaroše 1940/25, 602 00 Brno-střed-Černá Pole, Czechia"
"993","MUDr. Petr Kahánek s.r.o.","Zdravotnictví","Soukromá ordinace",16.578503,49.191055,"Hlinky 48/122, 603 00 Brno-střed, Czechia"
"994","MUDr. Břetislav Ponížil","Zdravotnictví","Soukromá ordinace",16.982615,49.276876,"Puškinova 409/63, 682 01 Vyškov-Vyškov 1, Czechia"
"995","Mgr. Denisa Burianková","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"996","Mgr. Jana Kracíková","Zdravotnictví","Soukromá ordinace",16.625176,49.191474,"Křenová 479/71, 602 00 Brno-Brno-střed, Czechia"
"997","MUDr. Ludmila Bartlová","Zdravotnictví","Soukromá ordinace",16.609317,48.964984,"U Floriánka 36, 691 25 Vranovice, Czechia"
"998","Neurologie Kubová s.r.o.","Zdravotnictví","Soukromá ordinace",16.58451,49.210782,"Minská 31, 616 00 Brno-Žabovřesky, Czechia"
"999","SmartOrtho s.r.o.","Zdravotnictví","Soukromá ordinace",16.618857,49.204135,"Durďákova 331/11, 613 00 Brno-sever-Černá Pole, Czechia"
"1000","Supreme dental s.r.o.","Zdravotnictví","Soukromá ordinace",16.589569,49.211524,"Pod kaštany 2288/15, 616 00 Brno-Žabovřesky, Czechia"
"1001","Ultrasonografická diagnostika s.r.o.","Zdravotnictví","Soukromá ordinace",16.592313,49.205268,"Rybkova 338/9, 602 00 Brno 2, Czechia"
"1002","Human Beauty s.r.o.","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"1003","Ortopedie Halla s.r.o.","Zdravotnictví","Soukromá ordinace",16.580316,49.169277,"Běloruská 575/2, 625 00 Brno-Bohunice, Czechia"
"1004","Ortopedie Halla s.r.o.","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"1005","Ordinace pediatra s.r.o.","Zdravotnictví","Soukromá ordinace",16.618441,49.203995,"20, Černopolní 215, 613 00 Brno-sever, Czechia"
"1006","MUDr. Vladimíra Štěničková s.r.o.","Zdravotnictví","Soukromá ordinace",16.578503,49.191055,"Hlinky 48/122, 603 00 Brno-střed, Czechia"
"1007","Gastroenterologie Eden s.r.o.","Zdravotnictví","Soukromá ordinace",16.584843,49.221005,"Purkyňova 3049/35f, 602 00 Brno-Brno-Královo Pole, Czechia"
"1008","DermaConcept s.r.o.","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"1009","Endokrinomedic s.r.o.","Zdravotnictví","Soukromá ordinace",16.623885,49.203969,"Jugoslávská 769/11, 613 00 Brno-sever, Czechia"
"1010","Foniatrická a ORL ambulance. Výdejna sluchadel s.r.o.","Zdravotnictví","Soukromá ordinace",16.611833,49.202545,"5, Bartošova 1832, 602 00 Brno-střed, Czechia"
"1011","DaliDENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.620579,49.207371,"Lesnická 1802/11, 613 00 Brno-sever-Černá Pole, Czechia"
"1012","GEAVIL s.r.o.","Zdravotnictví","Soukromá ordinace",16.642523,49.360508,"Svitavská 1018/1, 678 01 Blansko-Blansko 1, Czechia"
"1013","Oční ordinace MUDr. Hadravová, s.r.o.","Zdravotnictví","Soukromá ordinace",16.388286,49.182951,"Zámecká 49, 665 01 Rosice-Rosice u Brna, Czechia"
"1014","Oční ordinace MUDr. Hadravová, s.r.o.","Zdravotnictví","Soukromá ordinace",16.361277,49.186967,"Babická 136, 664 84 Zastávka-Zastávka u Brna, Czechia"
"1015","Klinická psychologie JABOK s.r.o.","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"1016","Psychiatrická ambulance Brno-Lesná s.r.o.","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"1017","DIA Tišnov s.r.o.","Zdravotnictví","Soukromá ordinace",16.424039,49.349797,"nám. Míru 24, 666 01 Tišnov-Tišnov 1, Czechia"
"1018","LOGOPEDIE Mgr. Výletová s.r.o.","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"1019","LOGOPEDIE Mgr. Výletová s.r.o.","Zdravotnictví","Soukromá ordinace",16.424039,49.349797,"nám. Míru 24, 666 01 Tišnov-Tišnov 1, Czechia"
"1020","Neurologie Lesná s.r.o.","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"1021","Praktik Letkovská s.r.o.","Zdravotnictví","Soukromá ordinace",16.336781,49.120482,"2, Letkovská 1042, 664 12 Oslavany, Czechia"
"1022","MUDr. Sylva Táborská","Zdravotnictví","Soukromá ordinace",16.604637,49.192155,"Pekařská 3, 602 00 Brno-střed, Czechia"
"1023","MUDr. Jana Raková s.r.o.","Zdravotnictví","Soukromá ordinace",16.530276,49.225631,"nám. 28. dubna 1069/2, 635 00 Brno-Bystrc, Czechia"
"1024","Dentiq zubní ordinace s.r.o.","Zdravotnictví","Soukromá ordinace",16.590998,49.199545,"Bří Čapků 384/14, 602 00 Brno-střed-Veveří, Czechia"
"1025","ProClinic s.r.o.","Zdravotnictví","Soukromá ordinace",16.713582,49.264436,"Kanice 44, 664 01 Kanice, Czechia"
"1026","MUDr. Jana Kouřilová, s.r.o.","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"1027","UPIRA s.r.o.","Zdravotnictví","Soukromá ordinace",16.594985,49.206394,"Zahradníkova 8, 602 00 Brno-střed, Czechia"
"1028","Medicprax s.r.o.","Zdravotnictví","Soukromá ordinace",16.735441,49.254771,"Ochoz u Brna 255, 664 02 Ochoz u Brna, Czechia"
"1029","Medicprax s.r.o.","Zdravotnictví","Soukromá ordinace",16.689215,49.280199,"Babice nad Svitavou 214, 664 01 Babice nad Svitavou, Czechia"
"1030","MUDr. Valeš s.r.o.","Zdravotnictví","Soukromá ordinace",16.361277,49.186967,"Babická 136, 664 84 Zastávka-Zastávka u Brna, Czechia"
"1031","MUDr. Anežka Novotná-praktický lékař, s.r.o.","Zdravotnictví","Soukromá ordinace",16.810958,49.028416,"Borkovany 276, 691 75 Borkovany, Czechia"
"1032","MUDr. Anežka Novotná-praktický lékař, s.r.o.","Zdravotnictví","Soukromá ordinace",16.85821,48.996809,"Zámecká 737/12, 691 72 Klobouky u Brna, Czechia"
"1033","MUDr. Hana Pokorná, s.r.o.","Zdravotnictví","Soukromá ordinace",16.286086,49.224419,"Komenského 105, 664 84 Zbraslav-Zastávka u Brna, Czechia"
"1034","Auxilio-MG s.r.o.","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"1035","MEDICPRO s.r.o.","Zdravotnictví","Soukromá ordinace",16.61883,49.039598,"Masarykova 734, 667 01 Židlochovice, Czechia"
"1036","MEDIPOP s.r.o.","Zdravotnictví","Soukromá ordinace",16.344193,49.160321,"května 9, 664 11 Zbýšov-Zbýšov u Brna, Czechia"
"1037","JODERMA s.r.o.","Zdravotnictví","Soukromá ordinace",16.630755,49.2037,"Lazaretní 1/7, 615 00 Brno-Židenice-Zábrdovice, Czechia"
"1038","MUDr. Ivana Jelínková s.r.o.","Zdravotnictví","Soukromá ordinace",16.653009,49.131798,"Břetislavova 386/40, 643 00 Brno-Chrlice, Czechia"
"1039","MUDr. Olga Vaškovičová Kubová s.r.o.","Zdravotnictví","Soukromá ordinace",16.526565,49.109962,"Kyselkova 90/2, 664 44 Ořechov-Ořechov u Brna, Czechia"
